rho,budget_fraction,absolute_budget,objective,second_objective,absolute_margin,margin_percent,selected_y_json,selected_z_json,selected_w_json,road_budget_used,road_budget_slack,feasible_tier_count,within_0p01_percent,within_0p10_percent,within_0p50_percent,corridor_2_full,corridor_3_full,residual_split_two_corridors,base_budget_fraction
0.05,0.6,3.281054275271686,1116.983190660174,1117.7268844512564,0.7436937910824781,0.066580571426767,"[1.0,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223969, 0.0, 96.98202567760315]",3.2348697603257897,0.04618451494589637,2260,1,3,24,True,True,False,0.42000000000000004
0.05,0.625,3.4177648700746732,1116.983190660174,1117.7268844512564,0.7436937910824781,0.066580571426767,"[1.0,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223969, 0.0, 96.98202567760315]",3.2348697603257897,0.18289510974888357,2412,1,4,30,True,True,False,0.42000000000000004
0.05,0.65,3.5544754648776604,1116.529602983267,1116.8406976315252,0.3110946482581767,0.027862642193002284,"[1.0,1.0,1.0,0.0,0.25]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.347974322397, 0.0, 96.98202567760299]",3.552405251593389,0.0020702132842713716,2548,1,5,39,True,True,False,0.42000000000000004
0.075,0.2,1.0936847584238956,1282.7288972650374,1305.7895951370679,23.06069787203046,1.7977842333792577,"[0.0,0.5,0.75,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223962, 0.0, 96.98202567760386]",1.0781352055026567,0.01554955292123883,96,1,1,1,False,False,True,0.42000000000000004
0.075,0.225,1.2303953532268823,1261.2017021696902,1266.9141850648325,5.71248289514233,0.4529396753362243,"[0.0,0.75,0.5,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.347974322397, 0.0, 96.98202567760303]",1.101236873980789,0.12915847924609336,141,1,1,2,False,False,True,0.42000000000000004
0.075,0.25,1.3671059480298693,1217.7228188496988,1224.611242563478,6.888423713779275,0.5656807614302825,"[0.0,1.0,0.5,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223962, 0.0, 96.98202567760381]",1.3307249161681995,0.036381031861669744,200,1,1,1,True,False,True,0.42000000000000004
0.075,0.275,1.5038165428328563,1217.7228188496988,1224.611242563478,6.888423713779275,0.5656807614302825,"[0.0,1.0,0.5,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223962, 0.0, 96.98202567760381]",1.3307249161681995,0.17309162666465672,268,1,1,1,True,False,True,0.42000000000000004
0.075,0.3,1.640527137635843,1177.5041623413454,1196.2160433346367,18.711880993291288,1.589113787596695,"[0.0,1.0,0.75,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223977, 0.0, 96.98202567760228]",1.5371112898774781,0.10341584775836488,354,1,1,1,True,False,True,0.42000000000000004
0.075,0.325,1.7772377324388302,1145.911523989133,1177.5041623413454,31.59263835221236,2.7569875763385694,"[0.0,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223975, 0.0, 96.9820256776026]",1.7434976635867565,0.0337400688520737,458,1,1,1,True,True,False,0.42000000000000004
0.075,0.35,1.913948327241817,1145.911523989133,1175.0769884551837,29.165464466050707,2.545175945566919,"[0.0,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223975, 0.0, 96.9820256776026]",1.7434976635867565,0.17045066365506045,577,1,1,1,True,True,False,0.42000000000000004
0.075,0.375,2.050658922044804,1145.7692040173758,1145.911523989133,0.1423199717571606,0.012421347271173671,"[0.0,1.0,1.0,0.25,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223966, 0.0, 96.98202567760347]",1.9843506802675792,0.06630824177722472,713,1,2,2,True,True,False,0.42000000000000004
0.075,0.4,2.187369516847791,1143.3408296171401,1145.3965056173017,2.0556760001616112,0.17979555587549306,"[0.25,1.0,1.0,0.0,0.0]","[0.0, 0.0, 0.38468508402373724, 0.0, 0.0]","[0.0, 0.0, 0.0, 536.3479743223972, 0.0, 96.98202567760283]",2.1163406877715145,0.07102882907627661,865,1,1,4,True,True,False,0.42000000000000004
